1,93,Afghanistan (+93)
2,355,Albania (+355)
3,213,Algeria (+213)
4,-683,Samoa(+1-684)
5,376,Andorra(+376)
6,244,Angola(+244)
7,-263,Anguilla (+1-264)
8,672,Antarctica(+672)
9,-267,Antigua(+1-268)
10,54,Argentina (+54)
11,374,Armenia(+374)
12,297,Aruba(+297)
13,61,Australia(+61)
14,43,Austria(+43)
15,994,Azerbaijan(+994)
16,-241,Bahamas(+1-242)
17,973,Bahrain(+973)
18,880,Bangladesh(+880)
19,-245,Barbados (+1-246)
20,375,Belarus(+375)
21,32,Belgium (+32)
22,501,Belize(+501)
23,229,Benin(+229)
24,-440,Bermuda (+1-441)
25,975,Bhutan(+975)
26,591,Bolivia (+591)
27,387,Bosnia(+387)
28,267,Botswana(+267)
29,55,Brazil (+55)
30,673,Brunei(+673)
31,359,Bulgaria (+359)
32,226,Burkina Faso(+226)
33,257,Burundi(+257)
34,855,Cambodia(+855)
35,237,Cameroon(+237)
36,1,Canada (+1)
37,238,Cape Verde (+238)
38,-344,Cayman Islands (+1-345)
39,236,Central African(+236)
40,235,Chad (+235)
41,56,Chile (+56)
42,86,China (+86)
43,53,Christmas Island (+53)
44,61,Cocos(+61)
45,57,Colombia (+57)
46,269,Comoros(+269)
47,243,Congo(+243)
48,242,Congo(+242)
49,682,Cook Islands(+682)
50,506,Costa Rica (+506)
51,225,Cote D'Ivoire(+225)
52,385,Croatia(+385)
53,53,Cuba (+53)
54,357,Cyprus (+357)
55,420,Czech Republic(+420)
56,45,Denmark (+45)
57,253,Djibouti(+253)
58,-766,Dominica (+1-767)
59,+1-809 and +1-829  ,Dominican Republic (+1-809 and +1-829  )
60,670,East Timor(+670)
61,593,Ecuador (+593 )
62,20,Egypt(+20)
63,503,El Salvador (+503)
64,240,Guinea(+240)
65,291,Eritrea(+291)
66,372,Estonia(+372)
67,251,Ethiopia(+251)
68,500,Falkland Islands(+500)
69,298,Faroe Islands (+298)
70,679,Fiji (+679)
71,358,Finland (+358)
72,33,France (+33)
73,594,French Guiana(+594)
74,689,French Polynesia(+689)
75,241,Gabon(+241)
76,220,"Gambia, The (+220)"
77,995,Georgia(+995)
78,49,Germany (+49)
79,233,Ghana(+233)
80,350,Gibraltar (+350)
81,30,Greece (+30)
82,299,Greenland (+299)
83,-472,Grenada (+1-473)
84,590,Guadeloupe(+590)
85,-670,Guam(+1-671)
86,502,Guatemala (+502)
87,224,Guinea(+224)
88,245,Guinea-Bissau(+245)
89,592,Guyana(+592)
90,509,Haiti (+509)
91,504,Honduras (+504)
92,852,Hong Kong (+852)
93,36,Hungary (+36)
94,354,Iceland (+354)
95,91,India (+91)
96,62,Indonesia(+62)
97,98,"Iran, Islamic Republic of(+98)"
98,964,Iraq (+964)
99,353,Ireland (+353)
100,972,Israel (+972)
101,39,Italy (+39)
102,-875,Jamaica (+1-876)
103,81,Japan (+81)
104,962,Jordan(+962)
105,7,Kazakstan(+7)
106,254,Kenya(+254)
107,686,Kiribati(+686)
108,850,North Korea(+850)
109,82,South Korea(+82)
110,965,Kuwait (+965)
111,996,Kyrgyzstan(+996)
112,856,Lao(+856)
113,371,Latvia(+371)
114,961,Lebanon (+961)
115,266,Lesotho(+266)
116,231,Liberia (+231)
117,218,Libya(+218)
118,423,Liechtenstein (+423)
119,370,Lithuania(+370)
120,352,Luxembourg (+352)
121,853,Macau (+853)
122,389,"Macedonia, The Former Yugoslav Republic of(+389)"
123,261,Madagascar(+261)
124,265,Malawi(+265)
125,60,Malaysia (+60)
126,960,Maldives (+960)
127,223,Mali(+223)
128,356,Malta (+356)
129,692,Marshall Islands(+692)
130,596,Martinique(+596)
131,222,Mauritania (+222)
132,230,Mauritius (+230)
133,269,Mayotte(+269)
134,52,Mexico (+52)
135,691,Micronesia(+691)
136,373,"Moldova, Republic of(+373)"
137,377,"Monaco, Principality of(+377)"
138,976,Mongolia(+976)
139,-663,Montserrat (+1-664)
140,212,Morocco (+212)
141,258,Mozambique(+258)
142,95,Myanmar(+95)
143,264,Namibia(+264)
144,674,Nauru(+674)
145,977,Nepal (+977)
146,31,Netherlands (+31)
147,599,Netherlands Antilles(+599)
148,687,New Caledonia (+687)
149,64,New Zealand(+64)
150,505,Nicaragua (+505)
151,227,Niger (+227)
152,234,Nigeria (+234)
153,683,Niue(+683)
154,672,Norfolk Island (+672)
155,-669,Mariana Islands(+1-670)
156,47,Norway (+47)
157,968,Oman(+968)
158,92,Pakistan(+92)
159,680,Palau(+680)
160,970,Palestinian State(+970)
161,507,Panama (+507)
162,675,Papua New Guinea(+675)
163,595,Paraguay (+595)
164,51,Peru (+51)
165,63,Philippines (+63)
166,48,Poland (+48)
167,351,Portugal (+351)
168,+1-787 or +1-939,Puerto Rico (+1-787 or +1-939)
169,974,"Qatar, State of (+974 )"
170,262,Reunion(+262)
171,40,Romania (+40)
172,7,Russian Federation (+7)
173,250,Rwanda(+250)
174,290,Saint Helena (+290)
175,-868,Saint Kitts(+1-869)
176,-757,Saint Lucia (+1-758)
177,508,Saint Pierre(+508)
178,-783,Saint Vincent(+1-784)
179,685,Samoa(+685)
180,378,San Marino (+378)
181,239,Sao Tome(+239)
182,966,Saudi Arabia (+966)
183,221,Senegal (+221)
184,248,Seychelles (+248)
185,232,Sierra Leone (+232)
186,65,Singapore (+65)
187,421,Slovakia(+421)
188,386,Slovenia (+386)
189,677,Solomon Islands(+677)
190,252,Somalia(+252)
191,27,South Africa(+27)
192,34,Spain (+34)
193,94,Sri Lanka(+94)
194,249,Sudan(+249)
195,597,Suriname(+597)
196,268,Swaziland(+268)
197,46,Sweden (+46)
198,41,Switzerland (+41)
199,963,Syria(+963)
200,886,Taiwan(+886)
201,992,Tajikistan(+992)
202,255,Tanzania(+255)
203,66,Thailand(+66)
204,690,Tokelau (+690)
205,676,"Tonga, Kingdom of(+676)"
206,-867,Trinidad(+1-868)
207,216,Tunisia (+216)
208,90,Turkey (+90)
209,993,Turkmenistan(+993)
210,-648,Turks & Caicos(+1-649)
211,688,Tuvalu(+688)
212,256,Uganda(+256)
213,380,Ukraine(+380)
214,971,UAE(+971)
215,44,United Kingdom(+44)
216,1,United States (+1)
217,598,Uruguay(+598)
218,998,Uzbekistan(+998)
219,678,Vanuatu(+678)
220,418,Vatican City State(+418)
221,58,Venezuela (+58)
222,84,Vietnam (+84)
223,-283,Virgin Islands(+1-284)
224,-339,Virgin Islands(+1-340)
225,681,Wallis & Futuna(+681)
226,967,Yemen (+967)
227,260,Zambia(+260)
228,263,Zimbabwe(+263)
